x,y,best_gid,mse
0,0,77,0.0
1,0,77,0.0
2,0,103,284.71
0,1,77,0.0
1,1,77,0.0
2,1,103,247.93
0,2,77,71.06
1,2,255,349.19
2,2,283,208.38
44,2,126,1270.22
45,2,7,252.47
46,2,7,457.19
47,2,7,416.17
48,2,33,538.75
49,2,7,416.17
50,2,27,931.38
51,2,33,699.05
52,2,7,457.19
53,2,7,416.17
54,2,33,538.75
55,2,7,416.17
56,2,7,402.58
57,2,8,811.75
58,2,10,711.44
59,2,10,644.24
0,3,54,137.01
1,3,283,169.49
2,3,104,206.67
44,3,101,1009.37
45,3,35,357.89
46,3,283,447.72
47,3,259,484.03
48,3,110,171.29
49,3,259,537.77
50,3,110,232.04
51,3,259,485.27
52,3,283,447.72
53,3,259,484.03
54,3,110,171.29
55,3,259,537.77
56,3,110,531.18
57,3,35,394.59
58,3,110,249.73
59,3,77,71.46
0,4,103,284.71
1,4,35,230.31
2,4,35,193.63
44,4,181,4473.73
45,4,255,349.07
46,4,283,202.4
47,4,255,322.23
48,4,283,235.19
49,4,260,339.11
50,4,283,195.46
51,4,255,350.56
52,4,283,202.4
53,4,255,322.23
54,4,283,235.19
55,4,260,339.11
56,4,283,195.46
57,4,255,350.56
58,4,283,202.4
59,4,255,322.23
0,5,103,247.93
1,5,77,71.55
2,5,77,36.79
44,5,208,16195.83
45,5,101,2136.73
46,5,104,206.67
47,5,233,263.03
48,5,233,303.21
49,5,35,248.51
50,5,35,105.67
51,5,283,124.72
52,5,283,145.47
53,5,283,121.35
54,5,53,69.75
55,5,283,157.58
56,5,135,110.33
57,5,151,2857.31
58,5,283,152.95
59,5,283,113.18
0,6,283,148.77
1,6,259,305.21
2,6,77,32.36
58,6,101,442.38
59,6,285,49.44
0,7,285,237.59
1,7,77,65.66
2,7,77,35.45
58,7,257,115.4
59,7,283,54.04
58,8,259,94.94
59,8,283,37.21
0,9,103,247.93
1,9,7,298.21
2,9,3,75.06
3,9,252,2019.64
4,9,7,1672.89
5,9,2,94.15
6,9,5,85.78
7,9,8,209.08
58,9,283,58.67
59,9,283,5.07
0,10,260,409.78
1,10,7,252.47
2,10,7,457.19
3,10,7,416.17
4,10,33,538.75
5,10,7,416.17
6,10,8,252.47
7,10,257,738.63
58,10,283,0.0
59,10,283,0.0
0,11,80,338.52
