x,y,best_gid,mse,coverage,second_gid,second_mse,third_gid,third_mse
0,0,77,0.0,1024,78,0.0,79,0.0
1,0,77,0.0,1024,78,0.0,79,0.0
0,1,77,0.0,1024,78,0.0,79,0.0
1,1,77,0.0,1024,78,0.0,79,0.0
58,10,283,0.0,1024,310,7.42,285,40.0
59,10,283,0.0,1024,310,7.42,285,40.0
58,11,283,0.0,1024,310,7.42,285,40.0
58,12,283,0.0,1024,310,7.42,285,40.0
1,13,77,0.0,1024,78,0.0,79,0.0
18,13,131,0.0,120,133,0.0,208,0.0
19,13,131,0.0,120,133,0.0,208,0.0
22,13,131,0.0,120,133,0.0,208,0.0
0,14,77,0.0,1024,78,0.0,79,0.0
1,14,77,0.0,1024,78,0.0,79,0.0
54,14,283,0.0,1024,310,7.42,285,40.0
55,14,283,0.0,1024,310,7.42,285,40.0
56,14,283,0.0,1024,310,7.42,285,40.0
0,15,77,0.0,1024,78,0.0,79,0.0
1,15,77,0.0,1024,78,0.0,79,0.0
3,15,77,0.0,1024,78,0.0,79,0.0
54,15,283,0.0,1024,310,7.42,285,40.0
55,15,283,0.0,1024,310,7.42,285,40.0
56,15,283,0.0,1024,310,7.42,285,40.0
2,22,77,0.0,1024,78,0.0,79,0.0
3,22,77,0.0,1024,78,0.0,79,0.0
4,22,77,0.0,1024,78,0.0,79,0.0
5,22,77,0.0,1024,78,0.0,79,0.0
2,23,77,0.0,1024,78,0.0,79,0.0
3,23,77,0.0,1024,78,0.0,79,0.0
4,23,77,0.0,1024,78,0.0,79,0.0
4,24,77,0.0,1024,78,0.0,79,0.0
9,31,77,0.0,1024,78,0.0,79,0.0
25,31,77,0.0,1024,78,0.0,79,0.0
55,31,77,0.0,1024,78,0.0,79,0.0
6,32,77,0.0,1024,78,0.0,79,0.0
22,32,77,0.0,1024,78,0.0,79,0.0
52,32,77,0.0,1024,78,0.0,79,0.0
26,33,77,0.0,1024,78,0.0,79,0.0
32,33,77,0.0,1024,78,0.0,79,0.0
59,29,77,0.46,1024,78,0.46,79,0.46
3,21,77,0.5,1024,78,0.5,79,0.5
5,21,77,0.5,1024,78,0.5,79,0.5
30,18,77,1.26,1024,78,1.26,79,1.26
0,31,77,1.49,1024,78,1.49,79,1.49
10,32,77,1.52,1024,78,1.52,79,1.52
26,32,77,1.52,1024,78,1.52,79,1.52
56,32,77,1.52,1024,78,1.52,79,1.52
56,33,77,1.52,1024,78,1.52,79,1.52
0,30,77,1.72,1024,78,1.72,79,1.72
54,28,77,2.06,1024,78,2.06,79,2.06
57,32,77,2.36,1024,78,2.36,79,2.36
3,19,77,2.5,1024,78,2.5,79,2.5
7,21,77,2.5,1024,78,2.5,79,2.5
11,23,77,2.5,1024,78,2.5,79,2.5
2,20,77,3.0,1024,78,3.0,79,3.0
3,20,77,3.0,1024,78,3.0,79,3.0
4,20,77,3.0,1024,78,3.0,79,3.0
5,20,77,3.0,1024,78,3.0,79,3.0
50,32,77,3.04,1024,78,3.04,79,3.04
5,33,77,3.04,1024,78,3.04,79,3.04
57,14,283,3.28,1024,310,10.7,285,44.06
59,23,77,3.44,1024,78,3.44,79,3.44
2,21,77,3.67,1024,78,3.67,79,3.67
4,21,77,3.67,1024,78,3.67,79,3.67
3,18,77,3.72,1024,78,3.72,79,3.72
7,20,77,3.72,1024,78,3.72,79,3.72
11,22,77,3.72,1024,78,3.72,79,3.72
3,24,77,3.72,1024,78,3.72,79,3.72
13,26,77,3.72,1024,78,3.72,79,3.72
31,6,77,3.78,1024,78,3.78,79,3.78
0,28,77,3.78,1024,78,3.78,79,3.78
18,32,77,3.8,1024,78,3.8,79,3.8
27,33,77,3.9,1024,78,3.9,79,3.9
31,33,375,4.48,608,323,6.28,328,11.85
57,33,77,4.59,1024,78,4.59,79,4.59
7,29,320,4.65,68,245,88.16,170,403.63
10,29,320,4.65,68,321,21.55,344,24.54
23,29,320,4.65,68,344,68.3,321,71.58
26,29,320,4.65,68,321,21.55,344,24.54
53,29,320,4.65,68,344,40.74,321,59.15
4,31,320,4.65,68,321,21.55,173,44.8
20,31,320,4.65,68,321,21.55,344,24.54
7,32,320,4.65,68,323,12.56,370,28.8
8,32,320,4.65,68,321,21.55,322,22.32
23,32,320,4.65,68,323,12.56,370,28.8
24,32,320,4.65,68,321,21.55,322,22.32
54,32,320,4.65,68,322,51.34,403,54.85
7,33,320,4.65,68,321,21.55,344,24.54
17,33,320,4.65,68,321,21.55,344,32.44
20,33,320,4.65,68,274,32.01,403,40.7
23,33,320,4.65,68,321,21.55,344,24.54
49,33,320,4.65,68,321,21.55,344,32.44
52,33,320,4.65,68,274,32.01,403,45.54
1,31,323,4.75,124,375,7.75,349,24.14
59,17,328,4.78,1024,77,4.93,78,4.93
59,9,283,5.07,1024,310,10.57,285,38.75
57,13,283,5.07,1024,310,10.57,285,38.75
59,21,328,5.07,1024,77,5.16,78,5.16
28,30,77,5.1,1024,78,5.1,79,5.1
59,24,77,5.27,1024,78,5.27,79,5.27
56,26,77,5.27,1024,78,5.27,79,5.27
59,30,328,5.35,1024,77,6.19,78,6.19
0,12,77,5.36,1024,78,5.36,79,5.36
2,14,77,5.36,1024,78,5.36,79,5.36
54,26,77,5.36,1024,78,5.36,79,5.36
59,27,328,5.45,1024,77,5.84,78,5.84
55,27,328,5.46,1024,77,6.42,78,6.42
58,25,328,5.5,1024,77,5.96,78,5.96
57,26,328,5.51,1024,77,5.84,78,5.84
13,31,245,5.51,68,403,38.08,401,72.94
16,31,245,5.51,68,246,25.55,269,32.34
45,31,245,5.51,68,320,108.43,170,111.69
47,31,245,5.51,68,246,25.55,173,52.54
48,31,245,5.51,68,246,25.55,269,32.34
10,33,245,5.51,68,246,25.55,403,48.54
42,33,245,5.51,68,246,25.55,171,86.3
59,26,328,5.68,1024,77,6.76,78,6.76
0,29,328,5.83,1024,304,6.84,77,7.1
2,19,375,5.93,608,323,6.28,328,10.19
6,21,375,5.93,608,323,6.28,328,10.19
10,23,375,5.93,608,323,6.28,328,10.19
2,25,375,5.93,608,323,6.28,328,10.19
59,22,328,5.94,1024,77,6.65,78,6.65
58,26,328,5.95,1024,304,7.02,77,7.22
58,31,328,5.95,1024,304,7.02,77,7.22
2,5,323,6.02,124,375,13.02,349,20.48
8,19,323,6.02,124,375,13.02,349,20.48
12,21,323,6.02,124,375,13.02,349,20.48
14,23,323,6.02,124,375,13.02,349,20.48
59,16,328,6.06,1024,304,7.07,77,7.33
59,25,328,6.06,1024,304,7.07,77,7.33
56,27,328,6.06,1024,304,7.07,77,7.33
57,27,328,6.06,1024,304,7.07,77,7.33
57,30,323,6.09,124,300,24.8,369,26.18
11,0,323,6.28,124,375,25.61,349,30.48
11,1,323,6.28,124,375,8.43,349,24.33
0,3,323,6.28,124,349,29.74,535,48.75
1,3,323,6.28,124,349,25.41,535,48.75
31,3,323,6.28,124,375,16.7,349,28.31
47,3,323,6.28,124,535,48.75,248,58.9
49,3,323,6.28,124,349,41.77,535,48.75
53,3,323,6.28,124,535,48.75,248,58.9
55,3,323,6.28,124,349,41.77,535,48.75
56,3,323,6.28,124,349,24.33,535,48.75
57,3,323,6.28,124,349,24.33,535,48.75
58,3,323,6.28,124,349,36.5,535,48.75
59,3,323,6.28,124,535,48.75,327,51.4
1,4,323,6.28,124,535,48.75,248,58.9
11,5,323,6.28,124,375,16.7,349,28.31
3,6,323,6.28,124,349,23.19,375,23.44
2,7,323,6.28,124,375,10.77,300,22.5
31,7,323,6.28,124,375,7.36,77,17.17
1,8,323,6.28,124,401,30.79,351,31.64
2,8,323,6.28,124,349,35.85,403,45.34
31,10,323,6.28,124,375,32.36,349,33.79
0,11,323,6.28,124,349,34.06,535,48.75
3,11,323,6.28,124,535,48.75,248,58.9
5,11,323,6.28,124,349,41.77,535,48.75
14,11,323,6.28,124,77,9.14,78,9.14
31,11,323,6.28,124,375,8.43,349,24.33
2,12,323,6.28,124,375,23.53,52,24.88
14,12,323,6.28,124,535,48.75,248,58.9
0,13,323,6.28,124,375,18.66,328,20.07
2,13,323,6.28,124,349,28.63,560,44.3
3,13,323,6.28,124,375,18.93,328,21.81
5,13,323,6.28,124,349,23.17,555,36.73
6,13,323,6.28,124,349,34.06,535,48.75
4,14,323,6.28,124,375,23.53,52,24.88
8,14,323,6.28,124,535,48.75,248,58.9
2,15,323,6.28,124,375,18.66,328,20.07
4,15,323,6.28,124,349,28.63,560,44.3
5,15,323,6.28,124,375,18.93,328,21.81
7,15,323,6.28,124,349,23.17,555,36.73
8,15,323,6.28,124,349,29.32,535,48.75
10,15,323,6.28,124,535,48.75,248,58.9
11,15,323,6.28,124,349,24.33,535,48.75
31,15,323,6.28,124,375,16.7,349,28.31
2,17,323,6.28,124,349,25.41,535,48.75
